date,r
5/7/20,0.05
5/8/20,0.05
5/11/20,0.05
5/12/20,0.05
5/13/20,0.05
5/14/20,0.05
5/15/20,0.05
5/18/20,0.05
5/19/20,0.05
5/20/20,0.05
5/21/20,0.05
5/22/20,0.05
5/26/20,0.05
5/27/20,0.05
5/28/20,0.05
5/29/20,0.05
6/1/20,0.05
6/2/20,0.05
6/3/20,0.05
6/4/20,0.05
6/5/20,0.05
6/8/20,0.05
6/9/20,0.05
6/10/20,0.05
6/11/20,0.05
6/12/20,0.05
6/15/20,0.05
6/16/20,0.05
6/17/20,0.05
6/18/20,0.05
6/19/20,0.05
6/22/20,0.05
6/23/20,0.05
6/24/20,0.05
6/25/20,0.05
6/26/20,0.05
6/29/20,0.05
6/30/20,0.05
7/1/20,0.05
7/2/20,0.05
7/6/20,0.05
7/7/20,0.05
7/8/20,0.05
7/9/20,0.05
7/10/20,0.05
7/13/20,0.05
7/14/20,0.05
7/15/20,0.05
7/16/20,0.05
7/17/20,0.05
7/20/20,0.05
7/21/20,0.05
7/22/20,0.05
7/23/20,0.05
7/24/20,0.05
7/27/20,0.05
7/28/20,0.05
7/29/20,0.05
7/30/20,0.05
7/31/20,0.05
8/3/20,0.05
8/4/20,0.05
8/5/20,0.05
8/6/20,0.05
8/7/20,0.05
8/10/20,0.05
8/11/20,0.05
8/12/20,0.05
8/13/20,0.05
8/14/20,0.05
8/17/20,0.05
8/18/20,0.05
8/19/20,0.05
8/20/20,0.05
8/21/20,0.05
8/24/20,0.05
8/25/20,0.05
8/26/20,0.05
8/27/20,0.05
8/28/20,0.05
8/31/20,0.05
9/1/20,0.05
9/2/20,0.05
9/3/20,0.05
9/4/20,0.05
9/8/20,0.05
9/9/20,0.05
9/10/20,0.05
9/11/20,0.05
9/14/20,0.05
9/15/20,0.05
9/16/20,0.05
9/17/20,0.05
9/18/20,0.05
9/21/20,0.05
9/22/20,0.05
9/23/20,0.05
9/24/20,0.05
9/25/20,0.05
9/28/20,0.05
9/29/20,0.05
9/30/20,0.05
10/1/20,0.05
10/2/20,0.05
10/5/20,0.05
10/6/20,0.05
10/7/20,0.05
10/8/20,0.05
10/9/20,0.05
10/12/20,0.05
10/13/20,0.05
10/14/20,0.05
10/15/20,0.05
10/16/20,0.05
10/19/20,0.05
10/20/20,0.05
10/21/20,0.05
10/22/20,0.05
10/23/20,0.05
10/26/20,0.05
10/27/20,0.05
10/28/20,0.05
10/29/20,0.05
10/30/20,0.05
11/2/20,0.05
11/3/20,0.05
11/4/20,0.05
11/5/20,0.05
11/6/20,0.05
11/9/20,0.05
11/10/20,0.05
11/11/20,0.05
11/12/20,0.05
11/13/20,0.05
11/16/20,0.05
11/17/20,0.05
11/18/20,0.05
11/19/20,0.05
11/20/20,0.05
11/23/20,0.05
11/24/20,0.05
11/25/20,0.05
11/27/20,0.05
11/30/20,0.05
12/1/20,0.05
12/2/20,0.05
12/3/20,0.05
12/4/20,0.05
12/7/20,0.05
12/8/20,0.05
12/9/20,0.05
12/10/20,0.05
12/11/20,0.05
12/14/20,0.05
12/15/20,0.05
12/16/20,0.05
12/17/20,0.05
12/18/20,0.05
12/21/20,0.05
12/22/20,0.05
12/23/20,0.05
12/24/20,0.05
12/28/20,0.05
12/29/20,0.05
12/30/20,0.05
12/31/20,0.05
1/4/21,0.05
1/5/21,0.05
1/6/21,0.05
1/7/21,0.05
1/8/21,0.05
1/11/21,0.05
1/12/21,0.05
1/13/21,0.05
1/14/21,0.05
1/15/21,0.05
1/19/21,0.05
